id_candidato;Candidato;tiktok_username;tiktok_followers;tiktok_fecha_captura;twitter_username;twitter_followers;twitter_fecha_captura;facebook_username;facebook_followers;facebook_fecha_captura
COL-41001-006;Wilker Esneider Bautista Macias;wilkerbautista;1228.0;2026-06-15 21:40;WilkerBautista;245;2026-06-15 21:54;WilkerEsneiderBautista;9300.0;2026-06-15 21:11
COL-13001-002;William Garcia Tirado;williamgarciatd;1479.0;2026-06-15 21:40;williamgarciatd;1981;2026-06-15 21:54;williamrgarciatirado;;
COL-70001-014;Yahir Fernando Acuña Cardales;yahiracunaalcalde;6439.0;2026-06-15 21:40;YahirAcunaCa;3942;2026-06-15 21:54;yahiracunaalcalde;96000.0;2026-06-15 21:11
COL-63001-014;Jose Ignacio Rojas Sepulveda;joseignarojas;1412.0;2026-06-15 21:40;;;;Joseignaciorojasoficial;1700.0;2026-06-15 21:11
COL-41001-004;Yilber Leandro Saavedra;yilbersaavedra.oficial;329.0;2026-06-15 21:40;;;;Yilber.Saavedra.Neiva;17000.0;2026-06-15 21:11
COL-19001-009;Jose Luis Diago Franco;joseluisdiagof;1094.0;2026-06-15 21:40;;;;joseluisdiagof;3500.0;2026-06-15 21:11
COL-19001-001;Diana Nelly Fuentes Meneses;dianafuentesmeneses;718.0;2026-06-15 21:40;;;;dianafuentesmeneses1;3800.0;2026-06-15 21:11
COL-05045-005;Adolfo David Romero Benitez;;;;AdolfoRomeroB;28;2026-06-15 21:54;adolforomerob;25000.0;2026-06-15 21:11
COL-15001-008;John Ernesto Carrero Villamil;;;;John_Carrero;5994;2026-06-15 21:54;;;
COL-44001-006;Jose Alberto Duran Rodriguez;;;;josedurancamara;2836;2026-06-15 21:54;joseduranro;7300.0;2026-06-15 21:11
COL-08001-006;Hassan Fares Hachem;;;;;;;plaza84;215000.0;2026-06-15 21:11
COL-05049-001;Juan Felipe Restrepo Tamayo;;;;;;;feliperestrepot;7000.0;2026-06-15 21:11
COL-68001-012;Luis Roberto Ordoñez Ardila;;;;;;;luisordonez123456;322.0;2026-06-15 21:11
COL-05266-002;Jhony Oswaldo Velez Quintero;;;;;;;jhony.velez.quintero.2025;5000.0;2026-06-15 21:11
COL-05266-003;Sergio Osvaldo Molina Perez;;;;;;;sergiomolinape;2700.0;2026-06-15 21:11
COL-41001-001;Hector Javier Osorio Botello;;;;;;;OsorioBotelloAlcalde;15000.0;2026-06-15 21:11
COL-41001-008;Jorge Andres Gechem Artunduaga;;;;;;;JorgeAndresGA;15000.0;2026-06-15 21:11
COL-70001-003;Diego Mercado Sanabria;;;;;;;DiegoMercadoSanabria;5400.0;2026-06-15 21:11
COL-70001-001;Aldemar Alfaro Rivero;;;;;;;aldemaralfarooficial;19000.0;2026-06-15 21:11
